,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
19,8471025,0.0,0.23383763401672636,RMDDL,135,1,URYVL,"['RMDDL', 'AVER']"
20,8471022,0.0,0.27774908872091586,RMDDL,135,1,URYVL,"['IL1VL', 'RMDDL']"
21,8471021,0.0,0.27774908872091586,RMDDL,135,1,URYVL,"['RMDDL', 'AVER']"
22,8471018,0.0,0.2939602945368179,RMDDL,135,1,URYVL,"['RMDDL', 'IL1VL']"
23,8471017,0.0,0.30507679448433367,RMDDL,135,1,URYVL,"['RMDDL', 'AVER']"
24,8471015,0.008764249210561965,0.3368502698524145,RMDDL,135,1,URYVL,"['AVER', 'RMDDL']"
25,8471010,0.012497253199980544,0.22709417526176032,RMDDL,135,1,URYVL,"['RMDDL', 'RMDVR', 'BWMVL01']"
26,8471009,0.01108882452975065,0.22709417526176032,RMDDL,135,1,URYVL,"['RMDDL', 'RMDVR']"
27,8471008,0.0,0.2129942926258061,RMDDL,135,1,URYVL,"['RMDDL', 'RMDVR']"
28,8471007,0.0,0.2050101967341541,RMDDL,135,1,URYVL,"['RMDDL', 'RMDVR']"
29,8471006,0.0,0.18635263843775557,RMDDL,135,1,URYVL,"['RMDDL', 'IL1VL', 'RMDVR']"
30,8471004,0.0,0.17756885914929266,RMDDL,135,1,URYVL,"['RMDVR', 'RMDDL']"
31,8470993,0.02193983251178623,0.7553577283180032,RMDDL,135,1,URYDR,"['RMDVR', 'RMDDL']"
32,8470992,0.02193983251178623,0.7553577283180032,RMDDL,135,1,URYDR,"['BWMDR01', 'RMDVR', 'RMDDL']"
33,8470991,0.0,0.7437093391454772,RMDDL,135,1,URYDR,"['RMDDL', 'RMDVR']"
34,8470990,0.0,0.7389712735210257,RMDDL,135,1,URYDR,"['RMDDL', 'RMDVR']"
35,8470860,0.0,0.5157704636190377,RMDDL,135,1,URBL,"['CEPDL', 'SIADR', 'RICR', 'RMDDL']"
36,8470830,0.0354665531994582,0.815863877069054,RMDDL,135,1,URADR,"['RMDDL', 'BWMDR01', 'BWMDR02']"
37,8470702,0.027974711898321854,0.8146471563227344,RMDDL,135,1,SMBDL,"['RMDDL', 'BWMDR04', 'BWMDR02']"
38,8470432,0.01649066158266555,0.40291781967661333,RMDDL,135,1,RMDVR,"['BWMVL04', 'RMDDL']"
39,8470431,0.022414451793935215,0.40291781967661333,RMDDL,135,1,RMDVR,"['BWMVL02', 'BWMVL04', 'RMDDL']"
40,8470430,0.0,0.3415644627536707,RMDDL,135,1,RMDVR,"['RMDDL', 'BWMVL04', 'BWMVL06']"
41,8470429,0.0,0.3312292093286737,RMDDL,135,1,RMDVR,"['RMDDL', 'BWMVL04']"
42,8470428,0.0,0.30912159763873,RMDDL,135,1,RMDVR,"['BWMVL02', 'BWMVL04', 'BWMVL04', 'RMDDL']"
43,8470427,0.0,0.2947972451846879,RMDDL,135,1,RMDVR,"['BWMVL02', 'RMDDL', 'BWMVL04']"
44,8470308,0.04278151316245446,0.7303598415054917,RMDDL,135,1,RMDDR,"['BWMDR05', 'BWMDR05', 'RMDDL']"
45,8470294,0.0,0.6968143666210028,RMDDL,135,0,RMDDL,"['BWMDR07', 'RMDVR']"
46,8470293,0.014844931142334119,0.7303598415054917,RMDDL,135,0,RMDDL,"['URYDR', 'BWMDR05', 'BWMDR07', 'BWMDR03']"
47,8470291,0.0601691561485719,0.7303598415054917,RMDDL,135,0,RMDDL,"['BWMDR05', 'BWMDL03', 'BWMDR03']"
48,8470290,0.0742836240235205,0.7303598415054917,RMDDL,135,0,RMDDL,"['BWMDL05', 'BWMDL01', 'BWMDR01', 'BWMDL03', 'RMEV']"
49,8470289,0.006131473281113754,0.7303598415054917,RMDDL,135,0,RMDDL,"['BWMDR03', 'BWMDR05', 'BWMDR01']"
50,8470288,0.031149710871400352,0.8146471563227344,RMDDL,135,0,RMDDL,"['RMDVR', 'BWMDR01']"
51,8470287,0.009366813876519843,0.8146471563227344,RMDDL,135,0,RMDDL,"['BWMDR02', 'RMDVR', 'BWMDR04']"
52,8470285,0.0,0.8188129986401552,RMDDL,135,0,RMDDL,"['BWMDR04', 'BWMDR04', 'RMDVR', 'BWMDR02', 'BWMDR01']"
53,8470283,0.024947220381990643,0.8481236818265117,RMDDL,135,0,RMDDL,"['BWMDR02', 'BWMDR04', 'RMDVR']"
54,8470282,0.031353295507379024,0.8481236818265117,RMDDL,135,0,RMDDL,"['BWMDR04', 'BWMDR04', 'RMDVR']"
55,8470280,0.05528884056219987,0.8481236818265117,RMDDL,135,0,RMDDL,"['BWMDR02', 'URADR', 'BWMDR04']"
56,8470264,0.0,0.09490005675571406,RMDDL,135,1,RIVR,"['SMDVR', 'RMDDL']"
57,8470259,0.0,0.13825269418773822,RMDDL,135,1,RIVR,"['RMDDL', 'RIAL']"
58,8469683,0.0,0.4520622754523864,RMDDL,135,1,RIAR,"['RMDDL', 'RMDVL', 'RMDR']"
59,8469679,0.0,0.8616516451628979,RMDDL,135,1,RIAR,"['RMDVR', 'RMDDL']"
60,8469631,0.013009452312993594,0.8631760734631293,RMDDL,135,1,RIAR,"['RMDDL', 'RMDVR']"
61,8469630,0.013009452312993594,0.8631760734631293,RMDDL,135,1,RIAR,"['RMDDL', 'RMDVR']"
62,8469623,0.0,0.8616516451628979,RMDDL,135,1,RIAR,"['RMDVR', 'RMDDL']"
63,8469622,0.029255926757304238,0.852337256514906,RMDDL,135,1,RIAR,"['RMDVR', 'RMDDL']"
64,8469621,0.0,0.8360838634169726,RMDDL,135,1,RIAR,"['RMDDL', 'RMDVR']"
65,8469620,0.0,0.8209189692145563,RMDDL,135,1,RIAR,"['RMDDL', 'RMDVR']"
66,8469617,0.0,0.7901683299477431,RMDDL,135,1,RIAR,"['RMDVR', 'RMDDL']"
67,8469614,0.0,0.7772481744012525,RMDDL,135,1,RIAR,"['RMDVR', 'RMDDL']"
68,8469613,0.0,0.7553577283180032,RMDDL,135,1,RIAR,"['RMDVR', 'RMDDL']"
69,8469612,0.0,0.7498833674216534,RMDDL,135,1,RIAR,"['RMDVR', 'RMDDL']"
70,8469611,0.0,0.7437093391454772,RMDDL,135,1,RIAR,"['RMDDL', 'RMDVR']"
71,8469609,0.0,0.7343224408683949,RMDDL,135,1,RIAR,"['RMDDL', 'RMDVR']"
72,8469608,0.0,0.7028207244527339,RMDDL,135,1,RIAR,"['RMDDL', 'RMDVR']"
73,8469556,0.0,0.3992952156014419,RMDDL,135,1,RIAR,"['RMDDL', 'RIAL', 'RMDVR']"
74,8469535,0.0,0.17934206107837666,RMDDL,135,1,RIAR,"['RMDDL', 'RMDVR']"
75,8469532,0.0,0.1272726139020367,RMDDL,135,1,RIAR,"['SMDVR', 'RMDDL']"
76,8469522,0.0,0.12985576497140172,RMDDL,135,1,RIAL,"['RMDDL', 'SMDDL', 'SMDVR']"
77,8469513,0.0,0.17756885914929266,RMDDL,135,1,RIAL,"['RMDDL', 'RMDVR', 'RIAR']"
78,8469511,0.0,0.19127689737246573,RMDDL,135,1,RIAL,"['RMDVR', 'RMDDL']"
79,8469510,0.0,0.19371026427363136,RMDDL,135,1,RIAL,"['RMDVR', 'RMDDL']"
80,8469509,0.0,0.20384528092428747,RMDDL,135,1,RIAL,"['RMDVR', 'RMDDL']"
81,8469507,0.0,0.23322838401056903,RMDDL,135,1,RIAL,"['RMDVR', 'RMDDL']"
82,8469504,0.0,0.2406665583720798,RMDDL,135,1,RIAL,"['RMDDL', 'RMDVR']"
83,8469501,0.0,0.24849348110573896,RMDDL,135,1,RIAL,"['RMDDL', 'RMDVR']"
84,8469500,0.0,0.2928793504219337,RMDDL,135,1,RIAL,"['RMDVR', 'RMDDL']"
85,8469498,0.0,0.32584012982546173,RMDDL,135,1,RIAL,"['RMDVR', 'RMDDL']"
86,8469495,0.0,0.3368502698524145,RMDDL,135,1,RIAL,"['RMDDL', 'RMDVR']"
87,8469486,0.015599823093326668,0.38464688761446425,RMDDL,135,1,RIAL,"['RMDR', 'RMDDL']"
88,8469485,0.013192317992004978,0.38464688761446425,RMDDL,135,1,RIAL,"['RMDR', 'RMDDL']"
89,8469482,0.0,0.39276054746228994,RMDDL,135,1,RIAL,"['RMDDL', 'RMDVR']"
90,8469429,0.0,0.6946037875721832,RMDDL,135,1,RIAL,"['RMDDL', 'RMDVR']"
91,8469423,0.0,0.7670076809436011,RMDDL,135,1,RIAL,"['RMDDL', 'SIADL']"
92,8469420,0.0,0.7791496013317466,RMDDL,135,1,RIAL,"['SIADL', 'RMDDL']"
93,8469418,0.0,0.7840464480423158,RMDDL,135,1,RIAL,"['RMDDL', 'SIADL']"
94,8467898,0.0,0.2344701461561979,RMDDL,135,1,IL1VL,"['RMDVR', 'RMDDL', 'BWMVL01']"
95,8467896,0.0,0.232638403722134,RMDDL,135,1,IL1VL,"['BWMVL02', 'RMEL', 'BWMVL01', 'RMDDL', 'RIPL']"
96,8467892,0.020927141598196978,0.2737082840139557,RMDDL,135,1,IL1VL,"['BWMVL02', 'RMDDL', 'BWMVL04']"
97,8467891,0.0,0.28266264677903113,RMDDL,135,1,IL1VL,"['RMDDL', 'BWMVL02', 'RIPL']"
98,8467890,0.0,0.3177294025614355,RMDDL,135,1,IL1VL,"['BWMVL02', 'RMEL', 'RMDDL']"
99,8467889,0.0,0.32584012982546173,RMDDL,135,1,IL1VL,"['BWMVL02', 'RMEL', 'RMDDL']"
100,8467888,0.0,0.3360854546847656,RMDDL,135,1,IL1VL,"['BWMVL02', 'RMDDL']"
101,8467792,0.04368651469524505,0.8481236818265117,RMDDL,135,1,IL1R,"['BWMDR02', 'RMDDL', 'RMDVR', 'BWMDR04']"
102,8467651,0.020159901766936106,0.40291781967661333,RMDDL,135,1,IL1L,"['BWMVL02', 'RMDDL']"
103,8467633,0.0,0.7617538090946104,RMDDL,135,0,RMDDL,"['BWMDR03', 'RMDVR', 'BWMDR01']"
104,8462663,0.0,0.30346709399596267,RMDDL,135,1,IL1VL,"['BWMVL02', 'RMDDL']"
105,8462632,0.0,0.7852850059341563,RMDDL,135,1,RIAR,"['RMDVR', 'RMDDL']"
106,8462631,0.0,0.7880902789833735,RMDDL,135,1,OLQDR,"['SIBVR', 'RMDDL']"
107,8462630,0.0,0.815863877069054,RMDDL,135,1,OLQDR,"['SIBVR', 'RMDDL']"
108,8462629,0.010030524700437365,0.8146471563227344,RMDDL,135,1,OLQDR,"['RMDDL', 'SMBDL', 'SIBVR']"
109,8462628,0.0,0.7815755376218698,RMDDL,135,1,RIAR,"['RMDVR', 'RMDDL']"
110,8462627,0.0,0.7815755376218698,RMDDL,135,1,OLQDR,"['RMDDL', 'SIBVR']"
111,8462548,0.0,0.7498833674216534,RMDDL,135,1,URYDR,"['RMDDL', 'RMDVR']"
112,8462448,0.011848674703774953,0.38464688761446425,RMDDL,135,1,OLLL,"['RMDDL', 'AVER']"
113,8462441,0.002282925380658166,0.38464688761446425,RMDDL,135,1,OLLL,"['RMDDL', 'CEPVL']"
114,8462436,0.0,0.35549866458965657,RMDDL,135,1,OLLL,"['AVER', 'RMDDL']"
115,8462432,0.0,0.33521799791189033,RMDDL,135,1,OLLL,"['CEPVL', 'RMDDL']"
116,8462430,0.0,0.32734740776158017,RMDDL,135,1,URYVL,"['RMDDL', 'AVER']"
117,8462428,0.0,0.32734740776158017,RMDDL,135,1,OLLL,"['RMDDL', 'AVER']"
118,8462418,0.0,0.3177294025614355,RMDDL,135,1,OLLL,"['CEPVL', 'RMDDL']"
119,8462415,0.0,0.31607137370660465,RMDDL,135,1,OLLL,"['RMDDL', 'AVER']"
120,8462413,0.0,0.30507679448433367,RMDDL,135,1,OLLL,"['CEPVL', 'RMDDL']"
121,8462412,0.0,0.28187183536543603,RMDDL,135,1,OLLL,"['RMDDL', 'AVER']"
122,8462409,0.0,0.26965168200753503,RMDDL,135,1,RIAL,"['RMDDL', 'RMDVR']"
123,8462401,0.0,0.2601676510154874,RMDDL,135,1,OLLL,"['RMDDL', 'AVER']"
124,8462393,0.0,0.20050231994361245,RMDDL,135,1,OLLL,"['CEPVL', 'RMDDL']"
125,8462406,0.0,0.26965168200753503,RMDDL,135,1,OLLL,"['AVER', 'RMDDL']"
126,8462391,0.0,0.19127689737246573,RMDDL,135,1,OLLL,"['CEPVL', 'RMDDL', 'IL1VL']"
127,8462068,0.0,0.31006559670036743,RMDDL,135,1,CEPVL,"['OLLL', 'RMDDL']"
128,8462031,0.0,0.17934206107837666,RMDDL,135,1,CEPVL,"['URYVL', 'RMDDL', 'OLLL', 'IL1VL']"
129,8462029,0.0,0.19832125016223223,RMDDL,135,1,CEPVL,"['RMDDL', 'OLLL']"
130,8462027,0.0,0.24966356683813345,RMDDL,135,1,CEPVL,"['OLLL', 'RMDDL', 'RIAL']"
131,8462026,0.0,0.25761775038360096,RMDDL,135,1,CEPVL,"['OLLL', 'RMDDL']"
132,8462025,0.0,0.30346709399596267,RMDDL,135,1,CEPVL,"['RMDDL', 'OLLL']"
133,8462023,0.0,0.32892220862664856,RMDDL,135,1,CEPVL,"['RMDDL', 'OLLL']"
134,8462022,0.0,0.35339611893225775,RMDDL,135,1,CEPVL,"['AVER', 'RMDDL', 'OLLL']"
135,8462021,0.0,0.3673904672234084,RMDDL,135,1,CEPVL,"['AVER', 'RMDDL', 'OLLL']"
136,8461988,0.0,0.6874083621534574,RMDDL,135,1,CEPDR,"['BWMDR07', 'RMDVR', 'RMDDL', 'BWMDL07']"
